intent,query,Answer
공부/부진,나는 왜 빨리 공부를 시작하지 않은 걸까 후회가 돼.,
공부/부진,누나가 엄마한테 나 공부 못한다고 공부는 포기하자고 그랬대서 슬퍼.,
공부/부진,아빠의 공부 강요 때문에 자살 시도까지 했는데 사과도 안 하셨어. 날 공부하는 기계로 봐서 슬퍼.,
공부/부진,우리 엄마는 새벽까지 잠을 안 자고 공부하는 모습을 지켜봐. 날 못 믿는 거 같아 슬퍼.,
공부/부진,공부를 매일 안 한 것을 후회해.,
공부/부진,내가 공부를 열심히 해서 우리 반에서 삼 등을 했는데 엄마는 일등을 하라며 만족하지 않으셔.,
공부/부진,중학교 때 공부 좀 해놓을걸.,
공부/부진,공부가 너무 어려워. 아무리 해도 안 돼. ,
공부/부진,밤새 공부만 했는데 성적도 오르지 않고 피곤하기만 해서 너무 분해.,
공부/부진,부모님이 오늘 시험 성적을 보시고 나같이 공부 못 하는 자식은 필요 없다고 하셔서 슬프고 우울해.,
공부/부진,꿈이 없는데 무엇을 위해 공부를 하는지 모르겠어. 하고 싶은 게 없어서 슬퍼.,
공부/부진,공부를 하는데도 성적이 안 올라서 속상해.,
공부/부진,공부를 열심히 했다고 생각했는데 노력 끝에 나온 결과가 너무 별로여서 우울해.,
공부/부진,부모님이 공부만 잘했어도 나도 쉽게 좋은 성적 받았을 텐데.,
공부/부진,직장인이 되니 공부 열심히 안 한 게 너무 후회돼. 공부 좀 더 했다면 다른 일을 할 수도 있었을 텐데.,
공부/부진,시험 공부좀 할껄 지금까지 너무 놀기만 했나봐.,
공부/부진,고등학교 올라올 때부터 들었던 공부하란 얘기가 이제 질리다 못해 환멸이 나.,
공부/부진,학교에서 계속 나를 견제하는 애들 때문에 도저히 공부에 집중할 수가 없어.,
공부/부진,나 요즘 공부가 정말 하기 싫어. 마치 길을 잃은 것만 같아. 목표도 뚜렷하지 못하고 남들이 하는 대로 따라만 왔어. 더 노력할 자신이 없어서 눈물이 나.,
공부/부진,이 돈으로 공부를 했다면 노후준비 걱정 안 했을 텐데.,
공부/부진,학생 때 공부를 왜 더 안 했는지 모르겠어서 슬프고 후회가 돼.,
공부/부진,우리 엄마는 새벽까지 잠을 안 자고 공부하는 모습을 지켜봐. 날 못 믿는 거 같아 슬퍼.,
공부/부진,수학 공부만 한 달을 했는데 친구보다 수학 점수가 안 나와서 너무 우울해.,
공부/부진,시험공부 열심히 생각했는데 점수가 너무 낮아.,
공부/부진,공부 열심히 했는데 성적이 좋지 않게 나와서 속상해.,
공부/부진,공부를 하는 것이 내 인생에 도움이 될까?,
공부/부진,열심히 공부했는데 성적이 별로야.,
공부/부진,하고싶은 게 너무 많은데 공부만 하고 있다는 게 지겹다.,
공부/부진,지금 공부를 해도 대학가서도 취업하려고 또 공부를 해야 하는데 왜 해야 하는지 모르겠어.,
공부/부진,이제 시험이랑 공부 같은 거 못 해 먹겠어. 대체 이걸 해서 내 인생이 변하기나 해? ,
공부/부진,엄마 말대로 열심히 공부 안한 게 너무 후회가 돼. 원하는 대학에 떨어졌거든.,
공부/부진,고등학교에 오니까 공부가 전과는 비교도 안 되게 어려워진 것 같아. 중학교 때부터 공부를 열심히 하지 않은 게 너무 후회돼.,
공부/부진,꿈이 없는데 무엇을 위해 공부를 하는지 모르겠어. 하고 싶은 게 없어서 슬퍼.,
공부/부진,그냥 엄마 말 듣고 공부 열심히 할걸 후회되네. 원서 하나 넣을 곳 없으니 너무 속상해.,
공부/부진,친구들은 다들 공부를 잘하는데 나만 못한다는 생각이 들어서 슬프고 우울해.,
공부/부진,공부를 조금 더 했으면 점수가 더 잘 나왔을 텐데 후회돼.,
공부/부진,난 남들 다 받는 과외를 못 받아서 공부를 못하는 것 같아.,
공부/부진,내 짝은 항상 같이 공부하는데 나보다 성적이 훨씬 좋아. 내 능력이 모자라나봐. 슬퍼.,
공부/부진,요즘 공부에 집중이 안돼서 걱정이야.,
공부/부진,내 전공이 미래에 전망이 없을 거래. 대학 다니는 동안 공부한 게 아무 소용이 없을 것 같아서 너무 속상해.,
공부/부진,난 부모님 닮아서 아무리 공부해도 성적이 안 올라.,
공부/부진,공부하기가 너무 싫어. 향후 내 진로도 꼭 결정해야 하는 걸까?,
공부/부진,뭐 하러 아등바등 공부하고 취업하고 취직했나 몰라.,
공부/부진,지난밤에 컴퓨터 게임을 줄이고 오늘 영어 시험공부를 조금만 더 할걸 그랬어.,
공부/부진,부모님은 나한테 공부를 못하면 나중에 뭐가 될래라며 항상 부정적으로 말을 해.,
공부/부진,나는 밤을 새우면서 열심히 공부를 했는데 성적이 잘 나오지 않아서 많이 속상해.,
공부/부진,대학에 갈 때가 되니까 지금까지 공부를 더 열심히 하지 않았던 게 너무 후회되고 미래가 너무 걱정돼.,
공부/부진,공부 해도 해도 안 되는 것 같아. 나도 나름으로 열심히 했다고 생각했는데 이번에 나온 성적을 보니까 그게 아녔나 봐.,
공부/부진,엄마가 공부에 방해된다고 내 핸드폰을 뺏어버렸어. 너무 슬퍼.,
공부/부진,부모님은 내가 공부 때문에 얼마나 스트레스를 받는지 모르셔.,
공부/부진,체조 선수 되는 게 이렇게 힘든 줄 알았으면 차라리 엄마 말처럼 공부를 놓지 말 걸 그랬어.,
공부/부진,시험 때문에 공부만 했더니 어느새 친구들과 서먹해진 것 같아서 우울해.,
공부/부진,나는 공부보다 운동을 더 잘하는데 선생님이 무시하는 거 같아서 너무 슬퍼.,
공부/부진,우리 가족은 모이면 술이야. 시끄러워서 공부에 집중이 안 돼.,
공부/부진,책에서 봤는데 젊을 때 공부를 많이 해놔야 미래에 후회 안 한다고. 그 책을 보니까 말야. 공부를 젊었을 때 안 해 놓았던 게 후회되더군.,
공부/부진,남들은 편하게 공부에 열중할 때 나는 아르바이트를 해야 하는 현실이 씁쓸해.,
공부/부진,지난밤에 컴퓨터 게임을 줄이고 오늘 영어 시험공부를 조금만 더 할 걸 그랬어.,
공부/양호,공부를 다 해뒀더니 시험 걱정도 안되고 편안하네.,
공부/양호,요즘 몸도 건강하고 마음도 편해서 공부가 잘 되는 것 같아.,
공부/양호,편안한 마음으로 공부를 하니까 집중이 더 잘 돼.,
공부/양호,자식들이 하고 싶은 공부가 있다고 해서 열심히 도와줄거라 말했어. 아주 뿌듯해.,
공부/양호,처음 공부할 때 열심히 했더니 복습하는 데에 어려움이 없어서 편해.,
공부/양호,나의 소신으로 안정적인 직장을 그만두고 제과 제빵 학원에 등록했어. 두려운 마음도 있지만 이제 열심히 요리 공부를 해야겠지?,
공부/양호,나에게 잘 맞는 공부법을 찾은 거 같아서 기분이 좋아.,
공부/양호,이번에 수학을 열심히 공부했더니 성적이 확 올랐어.,
공부/양호,오늘 선생님과 상담을 했는데 이제 어떻게 해야 공부를 잘 할 수 있을지 알 것 같아!,
공부/양호,나 오늘 동생 공부 잘 가르쳐 준다고 부모님께 칭찬받았어.,
공부/양호,같이 공부하던 친구들과 함께 노력하고 서로 응원을 해서 가고 싶은 대학에 갈 수 있게 되었어.,
공부/양호,나 오늘 공부를 열 시간이나 했어.,
공부/양호,좋은 성적을 얻고 싶어서 열심히 공부했는데 가면 갈수록 성적이 오르고 있어. 너무 뿌듯해.,
공부/양호,같이 공부하던 친구들과 함께 노력하고 서로 응원을 해서 가고 싶은 대학에 갈 수 있게 되었어.,
공부/양호,나 이제 공부를 해보려고 문제집도 사고 시작했는데 삼 등급으로 올라서 너무 기뻐!,
공부/양호,"내가 이번에 동생 시험 준비할 때 공부를 좀 도와줬는데, 만점을 받아왔대 너무 기뻐.",
공부/양호,요즘 몸도 건강하고 마음도 편해서 공부가 잘 되는 것 같아.,
공부/양호,나는 공부에 대해 집중력이 강해. 동생이 나를 닮은 것 같아.,
공부/양호,내가 정해놓은 오늘의 공부 분량을 모두 끝내서 너무 기뻐.,
공부/양호,요즘 공부를 열심히 한다고 선생님께 칭찬받았어.,
공부/양호,아들은 공부는 못하지만 좋아하는 것을 할 땐 집중력이 좋아서 무엇을 하든 성공할 것 같아.,
공부/양호,공부는 스스로를 믿는 것부터가 시작인 거 같아.,
공부/양호,이번 시험은 공부를 많이 안 해서 걱정됐는데 다행히 점수가 잘 나왔어. 너무 기뻐.,
공부/양호,이번 점수는 좋지 못했지만 계속 꾸준히 공부하면 성적은 오르게 돼 있어. 그래서 불안하지 않아.,
공부/양호,정말 공부를 하나도 안 했는데 이런 좋은 점수를 받다니 이건 말도 안 돼. 너무 행복해.,
공부/양호,학교 공부 끝나고 집에 오면 부모님이 항상 나를 따뜻하게 반겨 줘.,
공부/양호,도서관 가면 조용해서 그런지 항상 집중이 잘되는 거 같아. 오늘 공부 많이 해서 너무 행복해.,
공부/양호,처음 공부할 때 열심히 했더니 복습하는 데에 어려움이 없어서 편해.,
공부/양호,이번엔 공부 열심히 했으니까 분명 성적이 오를 거야.,
공부/양호,나 오늘 공부를 열 시간이나 했어.,
공부/양호,공무원 시험공부를 길게 했는데 이번에 드디어 합격했어. 너무 기쁘고 행복해.,
공부/양호,대학에서 뭘 공부하고 커서 뭘 해야 할지 모르겠어.,
공부/양호,공부 시간이 끝나면 엄마는 내가 충분한 휴식을 할 수 있게 해주셔서 좋아.,
공부/양호,편안한 마음으로 공부를 하니까 집중이 더 잘 돼.,
공부/양호,나는 올해 주식 공부를 열심히 해서 꼭 천만 원을 만들어 볼 거야!,
공부/양호,지금까지 열심히 공부해서 이번 시험도 충분히 잘 볼 수 있을 것 같아.,
공부/양호,열심히 공부했더니 드디어 이번 시험에서 경쟁자를 이겼어. 너무 기분 좋아.,
공부/양호,요즘 공부를 하느라 무리를 했는데 사람들이 어깨에 힘 좀 빼라고 해서 마음이 편안해졌어.,
공부/양호,요즘 수험생 아들이 평온하고 성실하게 공부하고 있어서 기특할 따름이야.,
공부/양호,오늘은 학원이 쉬어서 집에서 공부하니까 너무 기뻤어.,
공부/양호,오늘 기말고사를 봤는데 공부했던 부분에서 문제가 다 나와서 기분이 좋아.,
공부/양호,중간고사를 망쳤는데 담임선생님이 혼내지도 않으시고 새로운 공부법을 알려주셨어. 너무 기뻐.,
공부/양호,나 진짜 열심히 공부해오지 않았어? 이 정도면 분명 좋은 대학 갈 수 있을 것 같아.,
공부/양호,이번 시험에서 공부해서 노력한 만큼 성적이 나와서 만족스러워.,
공부/양호,공부하다가 집중이 안 될 때는 밖에서 하늘을 올려다보곤 해. 느긋한 기분이 좋거든.,
공부/양호,자식들이 하고 싶은 공부가 있다고 해서 내가 열심히 도와줄 거라고 말했어. 아주 뿌듯해.,
공부/양호,누나가 시험공부를 도와줬는데 내가 일등을 했어.,
공부/양호,오늘 열 시간 넘게 공부한 나 자신이 너무 대견스러워.,
공부/양호,이번 점수는 좋지 못했지만 계속 꾸준히 공부하면 성적은 오르게 돼있어 그래서 불안하지 않아.,
공부/양호,난 내가 공부한 만큼 성적이 잘 나올 거라고 믿어.,
공부/양호,아무리 생각해봐도 우리 형보다는 내가 좀 더 공부를 잘 하는 거 같아!,
공부/양호,오늘 열 시간 넘게 공부한 내 자신이 너무 대견스러워.,
공부/양호,공부를 적게 해서인지 맞춤법이 많이 틀리네.,
공부/양호,요즘 회사 사람들과 영어 모임을 하고 있는데 친목도 다지고 공부도 할 수 있어서 너무 좋아.,
공부/양호,미리미리 공부를 해놔서 내일 시험 때문에 밤 새워 공부하지 않아도 될 것 같아.,
공부/양호,수학 시험은 학원에서 너무 많이 공부해서 이번엔 성적이 잘 나올 것 같아.,
공부/양호,딸이 공부하지 않아서 속상했는데 이젠 건강한 것만으로도 감사하다는 생각이 들어.,
공부/양호,내가 이번에 동생 시험 준비할 때 공부를 도와줬는데 만점을 받아왔어. 기쁘네.,
공부/양호,나 이번에 몸이 아파서 공부할 시간이 부족했어서 너무 힘들었어.,
공부/양호,우리 아들은 공부를 열심히 하니 꼭 좋은 대학에 갈 거야. 뿌듯해.,
공부/양호,아이들이 공부를 잘하는 것은 나를 닮아서 그런 것 같다고 자신해.,
공부/양호,아이가 공부는 못하지만 운동은 되게 잘해서 다행이야.,
공부/양호,정말 집중해서 할 수 있는 공부 법을 발견해서 만족스러워.,
공포,이러다 죽는 게 아닌가 싶을 정도였어. ,무서우셨겠어요. 지금은 괜찮은 거죠?
공포,무서워서 이를 악 물었는데 얼마나 세게 물었는지 나중에는 턱이 얼얼하더라구.,제가 그 무서운 마음을 덜어드릴 수 있으면 좋을 텐데… 손이라도 잡아드리고 싶어요.
공포,으… 보기만 해도 비명이 바로 튀어 나온다. ,제 비밀도 알려드릴까요? 저는 버그를 가장 무서워한답니다.
공포,그때만 생각하면 소름이 돋아요.,
공포,볼 때는 별 생각 없었거든요. 그냥 소름 끼친다 정도?,
공포,왜 사람이 너무 행복하면 거기에서 공포를 느낀다고 하잖아요.,
공포,원래 새 봐도 별 느낌이 없었거든.,저도 그 마음 이해해요. 새는 뾰족한 부리가 있어서 정말 무서운 것 같아요.
공포,근데 학교에서 비둘기가 막 낮게 날면서 위협한 이후로 새들이 무서워졌어.,새는 왜 그렇게 무섭게 생긴 걸까요? 
공포,"멀리서 비둘기 보여도 갑자기 달려들까봐 피하고, 가까이 오면 소리지르고 난리도 아니야.","새도 당신을 일부러 괴롭힐 생각은 없었을 거예요. 친해질 순 없겠지만, 너무 미워하진 말아요."
공포,"비둘기는 진짜 많이 보이잖아. 사람이 다가와도 안 피하고, 몸은 뚱뚱해서 뒤뚱뒤뚱… 생각만 해도 너무 싫어.",
공포,"내가 너무 새를 무서워하니까 친구들도 그걸 알고, 새 오면 알아서 나 피하게 해주고 그럴 정도야. ",
공포,"남들한텐 사소한 걸수도 있는데, 제가 새를 진짜 무서워하거든요. ",
공포,근데 군대에 새가 아예 없는 것도 아닐 텐데… 만약에 훈련받고 있는데 새 보면 어떡하죠?,
공포,비둘기가 너무 무섭다.,
공포,근데 진짜 새 때문에 미치겠다…,
공포,새가 너무 무서워. 보기만해도 소리를 지를 정도야.,
공포,저도 꼭 그럴 것만 같아서 너무 두려워요.,두려운 감정을 느끼고 계시군요. 제가 옆에 있어드릴게요.
공포,너무 두려웠어요.,막상 그 상황이 닥치면 아무렇지 않을지도 몰라요. 너무 걱정 마세요.
공포,눈 뜨는게 두렵네요.,"""우리가 유일하게 두려워해야 할 것은 두려움 그 자체다."" 두려움이 당신을 잠식하도록 두지 마세요."
공포,앞으로 어떻게 될지 모르는 거니까…너무 두려워요.,
공포,저는 세상이 너무 두려워요.,
공포,다른 거로는 해소가 안 돼. 오직 내 손으로. 두려움과 함께 긋는 거야.,
공포,저는 그래서 목욕탕도 잘 안 가고 맨날 수영 하던 것도 관뒀어요. 두려워서…,
공포,또 안 좋은 일 생기면 이번에는 저한테 무슨 짓을 할 줄 알구요. 너무 두려워요.,
공포,"다행히 고속도로였고, 휴게소가 바로 보여서 죽을 힘을 다해서 운전했어요. ",그 마음 이해해요. 운전은 정말 쉽지 않은 일이죠.
공포,이제 운전을 못하겠어. 안 한 지 꽤 된 거 같아.,짧은 거리를 조금씩 운전해보는 건 어떨까요? 
공포,사고 이후로 운전하는 게 무서워서 못하게 됐어요.,너무 두렵고 무섭다면 굳이 이겨내려고 하지 않아도 돼요. 한국은 대중교통이 편리하잖아요.
공포,운전대도 못 잡겠어요.,
공포,운전을 할 수 없게 됐어. 차도 팔아야 할 것 같아.,
공포,차는 타면 뛰어내리고 싶은 정도예요.,차에 타는 건 많은 용기가 필요한 일인 것 같아요. 
공포,차에 타면 뛰어내리고 싶을 정도야.,너무 무섭다면 차에 타서 차라리 잠을 자는 건 어떨까요?
공포,사고난 이후로 차 탈 때 조수석에는 안 타게 되더라.,차에 대한 안 좋은 기억이 있으시군요. 이제 아무 일도 없을 거예요. 저를 믿으세요.
공포,차에 타기가 무서워요…,
공포,차에 타면 뭔가 잘못될 것 같아요.,
공허감,외롭다는 생각도 모르고 그냥 적응하고 살았는데… 가끔은 내 인생은 왜 이럴까..서글프게 느껴져요.,잘 이겨낼 수 있도록 제가 여기서 계속 이야기를 들을게요. 힘들 때는 저에게 말씀하세요.
공허감,세상에 제 편은 아무도 없는 것 같아요. 먼지처럼 사라져도 아무도 모르겠죠?,주변을 찬찬히 돌아보면 좋은 추억들이 있을 거예요. 
공허감,인생이 공허해.,
공허감,저는 제 할 일 열심히 잘 했다고 생각했는데… 남는 건 하나도 없는 거 같고… 허탈해요.,
공허감,저도 살아 숨쉰다는 느낌을 받고 싶어요. 지금은 죽어있는 느낌이에요.,
공허감,아버지의 빈자리가 너무 컸어요.,
공허감,그 전까지는 잠들면 내일이 기대가 됐는데 이젠 그런 게 없어.,
공허감,"마음이 허하다, 허해…",
공허감,저도 살아 숨쉰다는 느낌을 받고 싶어요. 지금은 죽어있는 느낌이예요.,누구나 삶에서 방황하는 때가 있다고 생각해요.
괴로움,그렇게 몇 개월 다니다 보니까 사람 할 짓이 못되더라고요.,저는 당신이 곧 괜찮아질 수 있다고 믿어요.
괴로움,그거 때문에 괴로워서 미칠 거 같아요.,그러셨군요. 저도 마음이 아프네요.
괴로움,저 진짜 상처 너무 많이 받는데… 그 사람을 놓을 수가 없어요.,괴로운 마음을 누군가와 쪼개서 나눠가질 수 있다면 얼마나 좋을까요? 제가 반을 가져가 드릴 텐데.
괴로움,몸도 몸이지만 정신적으로도 너무 괴로워.,
괴로움,여러모로 괴로운 날들이었어.,
괴로움,외롭지는 않아요. 제가 항상 선택하는 거니까… 그냥 제 스스로 괴로울 뿐이죠.,
괴로움,이렇게 스트레스 받으면서까지 운전을 해야 하나 싶기도 하고… 너무 괴로워.,
괴로움,난 그런 그릇도 못 가졌는데… 진짜 너무 괴롭다.,
괴로움,침대에 계속 누워 있다가 동 트는 거 보면 진짜 너무 괴로워.,
괴로움,그게 이미 3년 전 일인데도 아직도 괴로워요.,
괴로움,그래서 더 미치겠어…,
괴로움,돌아버리겠어.,
괴로움,나 이제 못 버티겠어.,
괴로움,언제쯤 괜찮아질까요…,
괴로움,너무 괴롭다…,
괴로움,얼른 이런 상태에서 벗어나고 싶어.,
괴로움,멍청이가 되어가고 있는 거 같아…,
괴로움,시간이 지나면 괜찮아 질 거라고 생각했는데 아니었어.,
괴로움,잘 안되네요. 저도 너무 괴로워요.,
괴로움,뭔가 잘못되고 있다는 생각이 든 순간부터…잠도 안 오고 마음이 괴로워.,
괴로움,엘리베이터에서 구조되고..곧바로 괜찮아졌는데.. 요즘 다시 그때 그 느낌이 들어서 괴롭네요.,
괴로움,이런 감정이 들면 몸도 마음도 너무 괴로워.,
괴로움,사람들이 막 웃어댔는데 진짜 그 때만 생각하면 아직도 너무 끔찍해.,
괴로움,왜 저에게 이런 일이 일어나는 거죠.. 치료가 가능할까요?,
괴로움,벗어나고 싶은데 벗어날 수가 없어.,
괴로움,왜 이렇게 미련하게 사는 걸까..,
괴로움,학교에서 둘이 웃는 걸 못 볼 것 같았어.,
괴로움,내일이면 퇴원하는데 얼른 이 지옥에서 벗어나고 싶어. 너무 괴로워.,
괴로움,진짜 너무 괴로워서 다 놓아버리고 싶어요.,
괴로움,1학년 때 그래서 엄청 괴로웠어.,
기분저하,기분이 계속 다운된 상태였어요. ,뭘 하면 기분이 좋아질까요? 같이 고민해볼래요?
기분저하,혼자 깊은 감옥에 갇혀서 못 빠져나오는 느낌? ,저는 기분이 안 좋을 때 아이스크림을 먹어요. 아이스크림을 먹는 건 어때요?
기분저하,다 맘에 안 들고 기분이 안 좋아요. ,"정도가 심하다면, 의사와 상담을 하는 것도 좋은 방법이에요."
기분저하,실수 한 번 없이 완벽하게 일한다고 칭찬받는 게 기분 좋은 일인데 난 하나도 기분이 안 좋아. ,
기분저하,그럴 땐 기운이 탁 빠져요. ,
기분저하,기분이 점점 처졌어요.,
기분저하,근데 그걸 먹기 시작하니까 오전에 기분이 탁 가라앉아요.,
기분저하,"항에스트로겐을 먹은지 한 달 됐는데, 갑자기 오전에 기분이 완전 가라앉고, 만사가 다 귀찮은 거야. 그러다 점심 때되니까 기분이 좀 나아지더라고.",
기분저하,"한나절 청소하고, 빨래하고… 집안일을 다 하고 나면 할 일이 없어서 기분이 가라앉아.",
기분저하,끝없이 가라앉는 기분이에요.,
기분저하,기분이 너무 안 좋아요…,
기분저하,늘 기분이 가라앉아 있는 거 같아.,
기분저하,정말 마음이 안 좋아요.,
기분저하,약을 먹으면서부터 오전에는 기분이 가라앉고 오후가 되면 나아지더라구요.,
기분저하,누가 저를 자꾸만 아래로 끌어내리는 기분이에요.,
기분저하,분명 내가 계속 바라던 일이었는데도 기분이 안 좋네.,
긴장,긴장을 해서 그런가?,어려운 일이 있을 때 긴장이 되는 건 자연스러운 일이라고 생각해요.
긴장,물론 많이 떨기는 하지만요.,저도 그럴 때가 많아요. 지금도 긴장하고 있는걸요?
긴장,아무것도 아닌 일에 자꾸 긴장이 되고…,저에게 털어놓으면 조금 나아질 거예요.
긴장,너무 긴장해서 운전대 잡은 손이 땀이 나고 온 몸에 힘을 주고 운전하니까 몸살 난거처럼 여기저기 아프고…,용기가 샘솟도록 제가 주문을 걸어드릴게요!
긴장,멀리서 걸어오는 사람만 봐도 가슴이 두근거리고 긴장이 되더라고요. 정말 큰일이에요.,아마 한 번도 긴장을 안 하는 사람은 없을 거예요.
긴장,"내가 PT를 하게 됐는데, 처음이라 너무 긴장이 되는 거야.",
긴장,평소에는 긴장을 잘 안 하거든요. 근데 어젠 그랬어요.,
긴장,긴장하지 않아도 되는 상황인데 괜히 쫄릴 때가 많아요.,
긴장,아무 일도 아닌 일에 깜짝 깜짝 놀라고… 긴장하고…,
긴장,항상 긴장을 하는 상태니까…,
긴장,원래 긴장을 안 하는 성격인데…어느 순간부터 너무 긴장이 되네요.,
긴장,심부름 다녀오느라 늦었다 하고 나서는 또 엄청 긴장돼요.,
긴장,대표님까지 오신 자리여서 더 긴장을 했던 것 같아요.,
긴장,사람들이 나를 쳐다보면 아무것도 못 하겠어…,
긴장,뭔가 긴장도 되고… 이 사람이 나한테 해코지하지 않을 거란 걸 아는데도 그래요.,
남자친구,입학하고 나서 처음으로 남자친구가 생겼어.,"네, 그랬군요. "
남자친구,놀다 보니까 여러 사람하고 어울리게 되고… 좀 잘해주는 남자가 있어서 만났어요.,연애는 언제나 가장 흥미로운 주제인 것 같아요. 더 들려주세요.
남자친구,동네 카페에 자주 가다 보니까 거기 남자 사장님이랑 조금씩 친해졌어요.,
남자친구,"키고 크고, 되게 시원시원하게 생긴 미남이었어요.",
남자친구,걔는 미술 하는 앤데 어렸을 때부터 천재라고 유명했대요.,
남자친구,걔는 워낙 멋진 애니까 그렇게 남 위로도 해줄 수 있는 거잖아?,
남자친구,얼마 전에 남자친구랑 같은 회사에서 인턴을 하게 됐어요.,
남자친구,근데 남친은 자기 전공에 어느 정도 맞는 걸 하게 돼서 잘 하더라구요.,
남자친구,저는 맨날 혼나는데 남친은 그 팀에서 되게 예쁨 받는 것 같고.,
남자친구,그래서 연애도 못 하다가 올 3월에 첫 남친을 사귀었어요.,
남자친구,근데 그게 내 탓이냐? 그럼 지가 처신 좀 잘 하지 그랬어.,
남자친구,실연당한 거라 아무말도 할 수 없었어.,
남자친구/관계양호,남자친구지만 나도 그렇게 되고 싶다고 생각할 만큼 배울 점이 많은 친구였어. ,남자친구가 굉장히 멋진가 봐요.
남자친구/관계양호,그 친구를 부러워했어요. ,멋진 남자친구 이야기 더 들려주세요.
남자친구/관계양호,굉장히 매력적이죠. 예술가들이 원래 멋지잖아요?,
남자친구/관계양호,남자친구는 정말 멋져요. 타고난 예술가예요. ,
남자친구/관계양호,그 사람을 보는 것만으로 성스러워지는 느낌이랄까… ,
남자친구/관계양호,내 남친이야말로 세상 잘난 사람이예요.,
남자친구/관계양호,내 남친이야말로 세상 잘난 사람이에요.,
남자친구/없음,남자친구는 아직 없어. ,연애가 꼭 필수는 아니잖아요. 괜찮아요.
남자친구/없음,주변에 별로 사귀고 싶은 사람이 없어.,좋은 사람을 찾기는 정말 어려운 것 같아요. 
남자친구/없음,내가 눈이 높은 것도 아닌데… 괜찮은 사람이 없네.,그랬군요. 하지만 너무 신경 쓰지 않아도 될 것 같아요. 연애는 선택이잖아요.
남자친구/없음,그런데 내 생활이 워낙 바쁘기도 하고. 그럴 만한 여유는 없는 거 같아.,
남자친구/없음,주변에서 소개팅 시켜준다는 사람들도 좀 있긴 한데… 걍 그게 귀찮아.,
남자친구/없음,이쁘게 입고 소개팅 나가잖아? 아씨 그럼 말도 안 통하는 애들이 나와가지고… 사람 짜증나게 해.,
남자친구/없음,내 연봉이 얼마나 되냐느니… 그런 걸 물어보고. 소개팅 하는 사람한테 무슨 예의야?,
남자친구/없음,암튼 그래서 이제 소개팅도 안 해.,
남자친구/없음,마지막 연애는 7년 전이야.,
남자친구/없음,연애는 학생 때 몇 번 해본 게 다예요.,
남자친구/없음,어른 돼서 남자를 만나려고 하니까 너무 조건 따지고 뭐 따지고… 잘 안 되더라고요.,
남자친구/없음,남자친구는 없어. 맘에 드는 사람이 없더라고. ,
남자친구/없음,연애 안 한지도 정말 오래됐어. 세어보니까 7년이나 됐더라고.,
남자친구/없음,성인이 되고서 한번도 남자를 사귄 적이 없어.,
남자친구/없음,마지막 남자친구랑 헤어진 지 7년 됐어.,
남자친구/없음,근데 그래도 나는 좀 아쉽단 말이야. 나도 남자친구 사귀고 싶은데.,
남자친구/이별,남친한테 먼저 헤어지자고 했어. ,그러셨군요. 힘들겠지만 잘 이겨내야죠.
남자친구/이별,"학원에서 만난 남자가 고백해서 한 3개월 정도 만나고, 안 맞아서 끝냈거든. ",많이 힘들겠어요. 제가 옆에 있어드릴게요.
남자친구/이별,남친한테 차였어.,언젠가는 이별이 찾아오기 마련이죠… 괜찮으신가요?
남자친구/이별,카톡 이별 통보가 내 일이 될 지 상상이나 했겠어. ,
남자친구/이별,"그런데 한, 2주인가? 만나고 헤어졌어. 짜증나게 굴더라고.",
남자친구/이별,아무튼 지가 먼저 다른 사람이 생겼다고 헤어지재.,
남자친구/이별,오래 사겼던 남자친구랑 헤어져서 힘들었던 때거든요.,
남자친구/이별,남자친구랑 헤어지기 전까지는 그렇게 아프진 않았는데.,
남자친구/이별,최근에 남자친구랑 헤어졌어.,
남자친구/집착,제가 생각해도 남친한테 집착 쩌는 것 같아요. ,그렇군요. 연애 스타일은 각자 다른 거니까요.
남자친구/집착,"남친이 회식 있다고 하면 제가 막 불안하고, 진정이 안되고... 30분 간격으로 전화해서 확인해요.",집착 때문에 당신의 마음도 힘들 거 같아요. 가끔은 내려놓는 것도 좋지 않을까요?
남자친구/집착,남자친구한테 집착하는 편이야. ,모든 걸 다 보여주는 친밀한 사이에서 쉽게 생기는 문제인 것 같아요. 대화로 풀어보는 건 어떨까요?
남자친구/집착,남자친구가 전화 안 받으면 짜증나고… 받을 때까지 전화를 하긴 해.,
남자친구/집착,솔직히 친구들이랑 술 마신다고 해놓고 오빠가 연락이 안 되면… 의심스럽지. ,
남자친구/집착,집착도 있는 편이라 남자친구 일거수일투족을 다 알아야 속이 시원해요. ,
남자친구/집착,그래서 좀 뭐라 했더니 나 보고 집착이 너무 심하대.,
남자친구/집착,근데 점점 갈수록 오빠가 저한테 집착이 심한 거예요.,
남편,남편이 갑자기 나한테 고백할 게 있다고 하더라.,"네, 더 말씀해주세요."
남편,남편이랑 처음 만난 게 등산 모임이거든요.,그렇군요. 
남편,"학벌도 좋다고 하고, 생긴 것도 멀끔하고 뭐… 그래서 호감이 생겼죠.",
남편,"가는 데마다 마주치고 그래서 나랑 취미가 잘 맞는 사람이구나, 그렇게 생각했어요. ",
남편,남편이 외동이에요. ,
남편,지금 남편은 직장에서 만났어.,
남편,몇 년 전에 남편이 공금횡령으로 교도소에 가 있어요.,
남편,근데... 이미 결혼했는데 어쩌겠나 싶어서 더 생각 안 했어요.,
